# g4beamline profile
#Z N meanX sigmaX meanY sigmaY emitX emitY emitTrans betaX betaY betaTrans alphaX alphaY alphaTrans meanP
#mm - mm mm mm mm mm-rad mm-rad mm-rad mm mm mm - - - MeV/c
11300.0 10886 2.341 60.008 -8.300 61.091 17.7 17.98 16.55 783.8 812.3 798.1 0.05237 0.04261 0.04749 384
11400.0 10888 1.187 60.466 -8.480 61.641 16.62 16.88 16.61 790.4 821.4 805.9 -0.1027 -0.1052 -0.104 382.7
11500.0 10866 -0.981 62.303 -8.446 63.117 19.98 19.85 16.63 835.7 857.7 846.7 -0.2042 -0.1759 -0.1901 382.4
11600.0 10832 -3.724 64.904 -7.614 64.479 24.92 24.67 16.74 898.9 887.2 893.1 -0.1914 -0.1292 -0.1603 382.9
11700.0 10823 -6.123 64.955 -5.383 64.545 26.86 26.82 16.55 909.3 897.9 903.6 -0.02558 0.03035 0.002387 383.3
11800.0 10824 -7.108 63.689 -2.419 63.456 24.32 24.39 16.6 872.1 865.7 868.9 0.1257 0.1607 0.1432 382.6
11900.0 10826 -7.087 62.206 0.222 61.822 19.72 19.69 16.61 835.1 824.8 830 0.1458 0.1493 0.1476 382.7
12000.0 10831 -6.538 60.997 1.965 60.781 16.78 16.53 16.52 808.5 802.8 805.7 0.04258 0.02994 0.03626 382.6
12100.0 10834 -6.161 61.469 3.082 61.633 18 17.83 16.56 815.4 819.7 817.6 -0.09541 -0.1309 -0.1131 381.2
12200.0 10817 -6.183 62.969 3.700 63.367 22.89 22.77 16.59 849.9 860.7 855.3 -0.1791 -0.2207 -0.1999 380.8
12300.0 10776 -6.941 63.949 3.955 64.411 28.03 28.03 16.23 893 906 899.5 -0.1442 -0.1734 -0.1588 381.5
12400.0 10763 -7.720 64.517 3.342 65.164 30.29 30.58 16.33 903.1 921.3 912.2 0.01703 -0.004037 0.006496 382
12500.0 10770 -8.435 64.247 2.716 64.680 28.01 28.18 16.97 862.3 874 868.1 0.1519 0.1295 0.1407 381.3
12600.0 10771 -8.566 62.103 2.345 62.896 22.44 22.48 16.69 824.2 845.4 834.8 0.1603 0.1454 0.1528 381.7
12700.0 10770 -8.477 60.318 2.719 61.106 17.56 17.56 16.32 798.1 819.1 808.6 0.05547 0.05147 0.05347 381.5
12800.0 10769 -8.056 60.422 3.907 61.249 16.39 16.46 16.27 801.2 823.3 812.2 -0.08141 -0.09321 -0.08731 380.3
12900.0 10759 -6.615 61.774 5.925 63.270 19.65 19.9 16.37 828.5 869.1 848.8 -0.1593 -0.1906 -0.1749 379.7
13000.0 10724 -4.331 62.814 7.750 64.616 24.2 24.42 16.2 863.7 914 888.8 -0.1418 -0.1389 -0.1403 380.3
13100.0 10714 -1.136 63.808 8.793 65.044 26.51 26.51 16.42 879 913.4 896.2 -0.01921 0.04401 0.0124 380.8
13200.0 10714 2.273 62.718 8.128 63.404 23.97 24.02 16.4 850.6 869.3 860 0.1089 0.1891 0.149 380.2
13300.0 10716 4.669 61.170 6.442 61.463 19.29 19.45 16.3 817.3 825.1 821.2 0.1287 0.1792 0.154 380.2
13400.0 10716 5.999 60.080 4.832 60.198 16.38 16.31 16.2 794.7 797.8 796.3 0.0278 0.0551 0.04145 380.1
13500.0 10708 6.730 60.349 3.855 60.605 17.51 17.3 16.14 801.8 808.6 805.2 -0.1059 -0.1006 -0.1033 378.9
13600.0 10695 7.426 62.870 3.826 62.460 22.61 22.09 16.37 853.5 842.5 848 -0.1992 -0.1968 -0.198 378.4
13700.0 10662 7.957 64.363 4.540 63.498 27.78 27.34 16.25 898.1 874.1 886.1 -0.1702 -0.1511 -0.1606 378.8
13800.0 10648 7.619 64.370 5.906 63.839 29.8 29.57 16.02 910.3 895.3 902.8 0.008659 -0.002885 0.002887 379.5
