 #VirtualDetector/det-1                                                          
  output from Ecalc9 version 2 
  settings: 
    particle type:            0
    pzmin/pzmax:    0.0000000000000000      /   0.0000000000000000     
    transverse cuts:    0.0000000000000000        0.0000000000000000     
    longitudinal cut:    0.0000000000000000     
    RF frequency (MHz):    0.0000000000000000     
    sigma cut:    0.0000000000000000     
    subtract out amplitude correlation

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
    34  0.1170E+02  0.3280E+01  0.6447E-02  0.4657E-02  0.6616E-06 -0.8894E-01  0.1958E+00  0.6314E+00  0.2446E-01  0.1203E+02 -0.3736E+01  0.1000E+03  0.1000E+03  0.1000E+03 -0.5472E-02  0.9647E-02  0.8923E-09  0.2025E-01  0.2293E-07  0.9632E-02 -0.9002E-02 -0.3299E-02  0.7926E-01 -0.2372E+00  0.1781E+00  0.6390E-01
    35  0.1205E+02 -0.3075E-03  0.6352E-02  0.5857E-02  0.6658E-06 -0.5007E-01  0.1988E+00  0.4953E+00  0.6968E-01  0.1118E+02 -0.3127E+01  0.1000E+03  0.1000E+03  0.1000E+03 -0.3448E-02  0.9647E-02  0.9200E-09  0.3077E-01  0.2338E-07  0.9615E-02 -0.9882E-02  0.9299E-02  0.1304E-01 -0.1731E+00  0.6267E-01  0.9910E-01
    36  0.1240E+02 -0.3281E+01  0.6507E-02  0.5782E-02  0.7175E-06  0.2983E-02  0.1964E+00  0.5498E+00  0.4636E-01  0.1113E+02 -0.3178E+01  0.1000E+03  0.1000E+03  0.1000E+03 -0.1279E-02  0.9647E-02  0.9447E-09  0.1888E-01  0.2294E-07  0.9633E-02 -0.1605E-01  0.7068E-02  0.9806E-01  0.1830E-01 -0.2656E-02  0.1687E+00
    37  0.1275E+02 -0.3179E-03  0.6622E-02  0.6151E-02  0.7856E-06 -0.4124E-01  0.1985E+00  0.4566E+00 -0.1390E+00  0.1108E+02 -0.3039E+01  0.1000E+03  0.1000E+03  0.1000E+03 -0.4082E-02  0.9647E-02  0.9770E-09  0.1358E-01  0.2233E-07  0.9638E-02 -0.1317E-01  0.3733E-02 -0.6354E-01  0.1399E+00  0.1105E+00  0.1156E+00
    38  0.1310E+02  0.3280E+01  0.6433E-02  0.7117E-02  0.7775E-06 -0.1207E+00  0.1953E+00  0.7230E+00 -0.7503E-01  0.1112E+02 -0.2834E+01  0.1000E+03  0.1000E+03  0.1000E+03 -0.7804E-02  0.9647E-02  0.1019E-08  0.3500E-01  0.2553E-07  0.9605E-02  0.1514E-03  0.1247E-01 -0.7138E-01  0.2549E+00  0.1065E+00  0.8757E-01
    39  0.1345E+02 -0.2974E-03  0.6464E-02  0.8243E-02  0.8153E-06 -0.5415E-01  0.1988E+00  0.5177E+00  0.1876E+00  0.1108E+02 -0.2558E+01  0.1000E+03  0.1000E+03  0.1000E+03 -0.4461E-02  0.9647E-02  0.1054E-08  0.4449E-01  0.2632E-07  0.9584E-02  0.1265E-01  0.3670E-02  0.4694E-01  0.2410E+00  0.1528E+00  0.1092E+00
    40  0.1380E+02 -0.3281E+01  0.6420E-02  0.8227E-02  0.8215E-06 -0.2409E-01  0.1967E+00  0.5192E+00  0.5332E-01  0.1132E+02 -0.2616E+01  0.1000E+03  0.1000E+03  0.1000E+03 -0.3016E-02  0.9647E-02  0.1075E-08  0.4463E-01  0.2746E-07  0.9586E-02  0.1648E-01  0.7213E-02 -0.6469E-01  0.1365E+00  0.1917E+00  0.2001E+00
    41  0.1415E+02 -0.3264E-03  0.6453E-02  0.8003E-02  0.8443E-06 -0.5697E-01  0.1986E+00  0.4667E+00 -0.1508E+00  0.1209E+02 -0.2738E+01  0.1000E+03  0.1000E+03  0.1000E+03 -0.4956E-02  0.9647E-02  0.1096E-08  0.4194E-01  0.2781E-07  0.9591E-02  0.1326E-01  0.9389E-02  0.4454E-02 -0.7557E-02  0.5018E-01  0.1525E+00
    42  0.1450E+02  0.3281E+01  0.6542E-02  0.7311E-02  0.8908E-06 -0.1316E+00  0.1953E+00  0.6763E+00 -0.4827E-02  0.1355E+02 -0.3109E+01  0.1000E+03  0.1000E+03  0.1000E+03 -0.8844E-02  0.9647E-02  0.1130E-08  0.4546E-01  0.2878E-07  0.9581E-02  0.1318E-01 -0.6775E-02  0.4732E-01 -0.1433E+00 -0.2871E-02  0.1116E+00
    43  0.1485E+02 -0.3048E-03  0.6653E-02  0.7310E-02  0.9672E-06 -0.5475E-01  0.1986E+00  0.4673E+00  0.9646E-01  0.1419E+02 -0.3153E+01  0.1000E+03  0.1000E+03  0.1000E+03 -0.5464E-02  0.9647E-02  0.1166E-08  0.3533E-01  0.2824E-07  0.9600E-02 -0.2724E-02 -0.1413E-01 -0.3897E-01 -0.1835E+00  0.1287E+00  0.1288E+00
    44  0.1520E+02 -0.3281E+01  0.6593E-02  0.7464E-02  0.9797E-06 -0.2438E-01  0.1966E+00  0.5534E+00 -0.6788E-01  0.1425E+02 -0.3149E+01  0.1000E+03  0.1000E+03  0.1000E+03 -0.3940E-02  0.9647E-02  0.1189E-08  0.3638E-01  0.2952E-07  0.9600E-02 -0.3771E-02 -0.1901E-01  0.5492E-01 -0.1740E+00  0.2378E+00  0.2370E+00
    45  0.1555E+02 -0.3174E-03  0.6595E-02  0.7403E-02  0.1001E-05 -0.5628E-01  0.1988E+00  0.5305E+00 -0.1098E+00  0.1519E+02 -0.3245E+01  0.1000E+03  0.1000E+03  0.1000E+03 -0.5920E-02  0.9647E-02  0.1209E-08  0.3854E-01  0.3041E-07  0.9596E-02 -0.1167E-02 -0.1959E-01  0.6848E-01 -0.8233E-01  0.1476E+00  0.2246E+00
